Srce|Shipnum|Shpd_Dt|Origin|Destination|Cdty_Cd|Ori_city|Ori_St|Origin_Zip|Dest_city|Dest_St|Dest_Zip|TM_Miles||_date_|_origin_latitude_|_origin_longitude_|_dest_latitude_|_dest_longitude_|_delete_this_
TMS|25633998|22-Jul-20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163||2020-07-22|29.760794|-95.26043|30.294148|-97.62863|FALSE
TMS|25634007|22-Jul-20|HTN|64225|DRY|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-22|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25634015|22-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-22|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25639295|22-Jul-20|HTN|94224|DRY|HOUSTON|TX|77029|ROSENBERG|TX|77471|32||2020-07-22|29.760794|-95.26043|29.549455|-95.81901|FALSE
TMS|25639419|22-Jul-20|HTN|34206|DRY|HOUSTON|TX|77029|AUSTIN|TX|78724|163||2020-07-22|29.760794|-95.26043|30.294148|-97.62863|FALSE
TMS|25642224|22-Jul-20|HTN|64225|DRYDRAUGHT|HOUSTON|TX|77029|FORT WORTH|TX|76140|261||2020-07-22|29.760794|-95.26043|32.630268|-97.27102|FALSE
TMS|25642337|22-Jul-20|HTN|94231|DRY|HOUSTON|TX|77029|TEXAS CITY|TX|77591|43||2020-07-22|29.760794|-95.26043|29.389583|-94.99167|FALSE
TMS|25643827|22-Jul-20|HTN|94211|DRY|HOUSTON|TX|77029|BRENHAM|TX|77833|74||2020-07-22|29.760794|-95.26043|30.183651|-96.40258|FALSE
TMS|25643981|22-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-22|29.760794|-95.26043|29.422583|-98.56584|FALSE
TMS|25644183|22-Jul-20|HTN|94285|DRY|HOUSTON|TX|77029|TRINITY|TX|75862|89||2020-07-22|29.760794|-95.26043|30.94481|-95.33298|FALSE
TMS|25647163|22-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-22|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647164|22-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-22|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647165|22-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-22|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647166|22-Jul-20|HTN|34254|DRY|HOUSTON|TX|77029|LLANO|TX|78643|236||2020-07-22|29.760794|-95.26043|30.721302|-98.66557|FALSE
TMS|25647171|22-Jul-20|HTN|94216|DRY|HOUSTON|TX|77029|CONROE|TX|77301|41||2020-07-22|29.760794|-95.26043|30.313308|-95.45085|FALSE
TMS|25647179|22-Jul-20|HTN|34254|DRYDRAUGHT|HOUSTON|TX|77029|LLANO|TX|78643|236||2020-07-22|29.760794|-95.26043|30.721302|-98.66557|FALSE
TMS|25647183|22-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10||2020-07-22|29.760794|-95.26043|29.695028|-95.15798|FALSE
TMS|25647185|22-Jul-20|HTN|64221|DRY|HOUSTON|TX|77029|DALLAS|TX|75235|242||2020-07-22|29.760794|-95.26043|32.828128|-96.84612|FALSE
TMS|25647189|22-Jul-20|HTN|64210|DRY|HOUSTON|TX|77029|BRYAN|TX|77803|101||2020-07-22|29.760794|-95.26043|30.678097|-96.37639|FALSE
TMS|25647195|22-Jul-20|HTN|44266|DRY|HOUSTON|TX|77029|NEW BRAUNFELS|TX|78130|176||2020-07-22|29.760794|-95.26043|29.699844|-98.10754|FALSE
TMS|25647200|22-Jul-20|HTN|21736|DRY|HOUSTON|TX|77029|LEESVILLE|LA|71446|206||2020-07-22|29.760794|-95.26043|31.138723|-93.22745|FALSE
TMS|25647210|22-Jul-20|HTN|TXLP|DRY|HOUSTON|TX|77029|LAPORTE|TX|77571|23||2020-07-22|29.760794|-95.26043|29.666781|-95.04487|FALSE
TMS|25647231|22-Jul-20|HTN|84245|DRY|HOUSTON|TX|77029|LONGVIEW|TX|75601|207||2020-07-22|29.760794|-95.26043|32.505248|-94.73172|FALSE
TMS|25647234|22-Jul-20|HTN|54294|DRY|HOUSTON|TX|77029|VICTORIA|TX|77901|124||2020-07-22|29.760794|-95.26043|28.806417|-96.99356|FALSE
TMS|25647237|22-Jul-20|HTN|94262|DRY|HOUSTON|TX|77029|HOUSTON (CYPRESS)|TX|77041|19||2020-07-22|29.760794|-95.26043|29.85873|-95.57243|FALSE
TMS|25647239|22-Jul-20|HTN|94218|DRY|HOUSTON|TX|77029|PASADENA|TX|77503|10||2020-07-22|29.760794|-95.26043|29.695028|-95.15798|FALSE
TMS|25647240|22-Jul-20|HTN|44276|DRY|HOUSTON|TX|77029|SAN ANTONIO|TX|78237|198||2020-07-22|29.760794|-95.26043|29.422583|-98.56584|FALSE
