Original;BreweryGroup;Lane;Origin;OriginWslr;OriginCity;OriginState;OriginType;Destination;DestinationWslr;DestinationCity;DestinationState;DestinationType;OW_Miles;TR_Loads;BH_Loads;tgt_ded_pcnt;bbls;ActDedicatedPayload;DedicatedLoads;Loads;FilledLoads;TotalLoadsToFill;DedicatedLoadsToFill
467;CRTV;CRTV_54153;CRTV;31000;CARTERSVILLE;GA;BRWY;54153;54153;MEMPHIS;TN;WS;346;0;0;0;66424;145;\N;459;\N;459;\N
386;CRTV;CRTV_10139;CRTV;31000;CARTERSVILLE;GA;BRWY;10139;10139;ATTALLA;AL;WB;90;23;0;0;64526;162;\N;398;23;375;\N
475;CRTV;CRTV_20950;CRTV;31000;CARTERSVILLE;GA;BRWY;20950;20950;PENSACOLA;FL;WS;357;0;0;0;58696;139;\N;423;\N;423;\N
453;CRTV;CRTV_54139;CRTV;31000;CARTERSVILLE;GA;BRWY;54139;54139;JACKSON;TN;WS;312;0;0;0;54734;139;\N;393;\N;393;\N
392;CRTV;CRTV_11056;CRTV;31000;CARTERSVILLE;GA;BRWY;11056;11056;MACON;GA;WS;129;26;0;0;54598;144;\N;380;26;354;\N
452;CRTV;CRTV_20948;CRTV;31000;CARTERSVILLE;GA;BRWY;20948;20948;EBRO;FL;WB;312;0;0;0;53090;142;\N;375;\N;375;\N
441;CRTV;CRTV_31090;CRTV;31000;CARTERSVILLE;GA;BRWY;31090;31090;VALDOSTA;GA;WS;276;0;0;0;44055;152;\N;289;\N;289;\N
486;CRTV;CRTV_12339;CRTV;31000;CARTERSVILLE;GA;BRWY;12339;12339;HATTIESBURG;MS;WB;378;2;0;0;41895;140;\N;299;2;297;\N
476;CRTV;CRTV_20162;CRTV;31000;CARTERSVILLE;GA;BRWY;20162;20162;LOXLEY;AL;WB;358;0;0;0;38359;140;\N;274;\N;274;\N
485;CRTV;CRTV_70918;CRTV;31000;CARTERSVILLE;GA;BRWY;70918;70918;JACKSONVILLE;FL;WS;371;1;0;0;38274;144;\N;265;1;264;\N
482;CRTV;CRTV_20161;CRTV;31000;CARTERSVILLE;GA;BRWY;20161;20161;MOBILE;AL;WS;364;2;0;0;36999;139;\N;265;2;263;\N
