Vehicle,ShipmentId,Backhaul Origin,Backhaul Destination,,MatchId,ShipperName,ShipperContact,Match Origin,Match Destination,Inc. miles,Inc. Minutes,Benefit,,,Inc Miles,Inc Minutes,Benefit
veh-25675855,,,,,,,,,,,,,,,,,
veh-25675855,,,,,,,,,,,,,,,,,
veh-25675855,,,,,,,,,,,,,,,,,
veh-25675855,,,,,,,,,,,,,,,,,
veh-25675856,,,,,,,,,,,,,,,,,
veh-25675856,,,,,,,,,,,,,,,,,
veh-25675856,,,,,,,,,,,,,,,,,
veh-25675856,,,,,,,,,,,,,,,,,
veh-25675856,,,,,,,,,,,,,,,,,
veh-25675857,,,,,,,,,,,,,,,,,
veh-25675857,,,,,,,,,,,,,,,,,
veh-25675857,,,,,,,,,,,,,,,,,
veh-25675857,,,,,,,,,,,,,,,,,
veh-25675857,,,,,,,,,,,,,,,,,
veh-25675860,,,,,,,,,,,,,,,,,
veh-25675860,,,,,,,,,,,,,,,,,
veh-25675860,,,,,,,,,,,,,,,,,
veh-25675860,,,,,,,,,,,,,,,,,
veh-25675860,,,,,,,,,,,,,,,,,
veh-25675862,,,,,,,,,,,,,,,,,
veh-25675862,,,,,,,,,,,,,,,,,
veh-25675862,,,,,,,,,,,,,,,,,
veh-25675862,,,,,,,,,,,,,,,,,
veh-25675862,,,,,,,,,,,,,,,,,
veh-25675863,,,,,,,,,,,,,,,,,
veh-25675863,,,,,,,,,,,,,,,,,
veh-25675863,,,,,,,,,,,,,,,,,
veh-25675863,,,,,,,,,,,,,,,,,
veh-25675863,,,,,,,,,,,,,,,,,
veh-25675865,,,,,,,,,,,,,,,,,
veh-25675865,,,,,,,,,,,,,,,,,
veh-25675865,,,,,,,,,,,,,,,,,
veh-25675865,,,,,,,,,,,,,,,,,
veh-25675865,,,,,,,,,,,,,,,,,
veh-25675868,,,,,,,,,,,,,,,,,
veh-25675868,,,,,,,,,,,,,,,,,
veh-25675868,,,,,,,,,,,,,,,,,
veh-25675868,,,,,,,,,,,,,,,,,
veh-25675868,,,,,,,,,,,,,,,,,
veh-25675870,25675870,"HOUSTON, TX","HOUSTON, TX",,25675870-192,3 RIVERS,870-548-5003,"HOUSTON, TX","DALLAS, TX",471.636820062883,633,135.000552325798,,,,,
veh-25675870,,,,,,,,,,,,,,,,,
veh-25675870,,,,,,,,,,,,,,,,,
veh-25675870,,,,,,,,,,,,,,,,,
veh-25675870,,,,,,,,,,,,,,,,,
veh-25675872,,,,,,,,,,,,,,,,,
veh-25675872,,,,,,,,,,,,,,,,,
veh-25675872,,,,,,,,,,,,,,,,,
veh-25675872,,,,,,,,,,,,,,,,,
veh-25675872,,,,,,,,,,,,,,,,,
veh-25675879,,,,,,,,,,,,,,,,,
veh-25675879,,,,,,,,,,,,,,,,,
veh-25675879,,,,,,,,,,,,,,,,,
veh-25675879,,,,,,,,,,,,,,,,,
veh-25675879,,,,,,,,,,,,,,,,,
veh-25675880,,,,,,,,,,,,,,,,,
veh-25675880,,,,,,,,,,,,,,,,,
veh-25675880,,,,,,,,,,,,,,,,,
veh-25675880,,,,,,,,,,,,,,,,,
veh-25675880,,,,,,,,,,,,,,,,,
veh-25675884,25675884,"HOUSTON, TX","SAN ANTONIO, TX",,25675884-207,CIRCLE L,260-918-9518,"SAN ANTONIO, TX","HOUSTON, TX",7.38066536592641,157,719.585481534874,,,,,
veh-25675884,,,,,,,,,,,,,,,,,
veh-25675884,,,,,,,,,,,,,,,,,
veh-25675884,,,,,,,,,,,,,,,,,
veh-25675884,,,,,,,,,,,,,,,,,
veh-25675891,,,,,,,,,,,,,,,,,
veh-25675891,,,,,,,,,,,,,,,,,
veh-25675891,,,,,,,,,,,,,,,,,
veh-25675891,,,,,,,,,,,,,,,,,
veh-25675891,,,,,,,,,,,,,,,,,
veh-25675898,,,,,,,,,,,,,,,,,
veh-25675898,,,,,,,,,,,,,,,,,
veh-25675898,,,,,,,,,,,,,,,,,
veh-25675898,,,,,,,,,,,,,,,,,
veh-25675898,,,,,,,,,,,,,,,,,
veh-25675916,,,,,,,,,,,,,,,,,
veh-25675916,,,,,,,,,,,,,,,,,
veh-25675916,,,,,,,,,,,,,,,,,
veh-25675916,,,,,,,,,,,,,,,,,
veh-25675916,,,,,,,,,,,,,,,,,
